DateKey,Date,FullDateUK,FullDateUSA,DayOfMonth,DaySuffix,DayName,DayOfWeekUSA,DayOfWeekUK,DayOfWeekInMonth,DayOfWeekInYear,DayOfQuarter,DayOfYear,WeekOfMonth,WeekOfQuarter,WeekOfYear,Month,MonthName,MonthOfQuarter,Quarter,QuarterName,Year,YearName,MonthYear,MMYYYY,FirstDayOfMonth,LastDayOfMonth,FirstDayOfQuarter,LastDayOfQuarter,FirstDayOfYear,LastDayOfYear,IsHolidayUSA,IsWeekday,HolidayUSA,IsHolidayUK,HolidayUK
20210111,2021-01-11 00:00:00,11/01/2021,01/11/2021,11,11th,Monday,2,1,2,2,2,11,3,2,3,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210112,2021-01-12 00:00:00,12/01/2021,01/12/2021,12,12th,Tuesday,3,2,2,2,2,12,3,2,3,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210113,2021-01-13 00:00:00,13/01/2021,01/13/2021,13,13th,Wednesday,4,3,2,2,2,13,3,2,3,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210114,2021-01-14 00:00:00,14/01/2021,01/14/2021,14,14th,Thursday,5,4,2,2,2,14,3,2,3,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210115,2021-01-15 00:00:00,15/01/2021,01/15/2021,15,15th,Friday,6,5,3,3,3,15,3,3,3,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210116,2021-01-16 00:00:00,16/01/2021,01/16/2021,16,16th,Saturday,7,6,3,3,3,16,3,3,3,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210117,2021-01-17 00:00:00,17/01/2021,01/17/2021,17,17th,Sunday,1,7,3,3,3,17,4,3,4,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210118,2021-01-18 00:00:00,18/01/2021,01/18/2021,18,18th,Monday,2,1,3,3,3,18,4,3,4,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210119,2021-01-19 00:00:00,19/01/2021,01/19/2021,19,19th,Tuesday,3,2,3,3,3,19,4,3,4,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210120,2021-01-20 00:00:00,20/01/2021,01/20/2021,20,20th,Wednesday,4,3,3,3,3,20,4,3,4,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210121,2021-01-21 00:00:00,21/01/2021,01/21/2021,21,21st,Thursday,5,4,3,3,3,21,4,3,4,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210122,2021-01-22 00:00:00,22/01/2021,01/22/2021,22,22nd,Friday,6,5,4,4,4,22,4,4,4,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210123,2021-01-23 00:00:00,23/01/2021,01/23/2021,23,23rd,Saturday,7,6,4,4,4,23,4,4,4,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210124,2021-01-24 00:00:00,24/01/2021,01/24/2021,24,24th,Sunday,1,7,4,4,4,24,5,4,5,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210125,2021-01-25 00:00:00,25/01/2021,01/25/2021,25,25th,Monday,2,1,4,4,4,25,5,4,5,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210126,2021-01-26 00:00:00,26/01/2021,01/26/2021,26,26th,Tuesday,3,2,4,4,4,26,5,4,5,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210127,2021-01-27 00:00:00,27/01/2021,01/27/2021,27,27th,Wednesday,4,3,4,4,4,27,5,4,5,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210128,2021-01-28 00:00:00,28/01/2021,01/28/2021,28,28th,Thursday,5,4,4,4,4,28,5,4,5,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210129,2021-01-29 00:00:00,29/01/2021,01/29/2021,29,29th,Friday,6,5,5,5,5,29,5,5,5,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210130,2021-01-30 00:00:00,30/01/2021,01/30/2021,30,30th,Saturday,7,6,5,5,5,30,5,5,5,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210131,2021-01-31 00:00:00,31/01/2021,01/31/2021,31,31st,Sunday,1,7,5,5,5,31,6,5,6,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210201,2021-02-01 00:00:00,01/02/2021,02/01/2021,1,1st,Monday,2,1,1,5,5,32,1,5,6,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210202,2021-02-02 00:00:00,02/02/2021,02/02/2021,2,2nd,Tuesday,3,2,1,5,5,33,1,5,6,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210203,2021-02-03 00:00:00,03/02/2021,02/03/2021,3,3rd,Wednesday,4,3,1,5,5,34,1,5,6,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210204,2021-02-04 00:00:00,04/02/2021,02/04/2021,4,4th,Thursday,5,4,1,5,5,35,1,5,6,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210205,2021-02-05 00:00:00,05/02/2021,02/05/2021,5,5th,Friday,6,5,1,6,6,36,1,6,6,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210206,2021-02-06 00:00:00,06/02/2021,02/06/2021,6,6th,Saturday,7,6,1,6,6,37,1,6,6,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210207,2021-02-07 00:00:00,07/02/2021,02/07/2021,7,7th,Sunday,1,7,1,6,6,38,2,6,7,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210208,2021-02-08 00:00:00,08/02/2021,02/08/2021,8,8th,Monday,2,1,2,6,6,39,2,6,7,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210209,2021-02-09 00:00:00,09/02/2021,02/09/2021,9,9th,Tuesday,3,2,2,6,6,40,2,6,7,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210210,2021-02-10 00:00:00,10/02/2021,02/10/2021,10,10th,Wednesday,4,3,2,6,6,41,2,6,7,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210211,2021-02-11 00:00:00,11/02/2021,02/11/2021,11,11th,Thursday,5,4,2,6,6,42,2,6,7,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210212,2021-02-12 00:00:00,12/02/2021,02/12/2021,12,12th,Friday,6,5,2,7,7,43,2,7,7,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210213,2021-02-13 00:00:00,13/02/2021,02/13/2021,13,13th,Saturday,7,6,2,7,7,44,2,7,7,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210214,2021-02-14 00:00:00,14/02/2021,02/14/2021,14,14th,Sunday,1,7,2,7,7,45,3,7,8,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,True,False,Valentine's Day,False,
20210215,2021-02-15 00:00:00,15/02/2021,02/15/2021,15,15th,Monday,2,1,3,7,7,46,3,7,8,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210216,2021-02-16 00:00:00,16/02/2021,02/16/2021,16,16th,Tuesday,3,2,3,7,7,47,3,7,8,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210217,2021-02-17 00:00:00,17/02/2021,02/17/2021,17,17th,Wednesday,4,3,3,7,7,48,3,7,8,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210218,2021-02-18 00:00:00,18/02/2021,02/18/2021,18,18th,Thursday,5,4,3,7,7,49,3,7,8,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210219,2021-02-19 00:00:00,19/02/2021,02/19/2021,19,19th,Friday,6,5,3,8,8,50,3,8,8,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210220,2021-02-20 00:00:00,20/02/2021,02/20/2021,20,20th,Saturday,7,6,3,8,8,51,3,8,8,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210221,2021-02-21 00:00:00,21/02/2021,02/21/2021,21,21st,Sunday,1,7,3,8,8,52,4,8,9,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210222,2021-02-22 00:00:00,22/02/2021,02/22/2021,22,22nd,Monday,2,1,4,8,8,53,4,8,9,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210223,2021-02-23 00:00:00,23/02/2021,02/23/2021,23,23rd,Tuesday,3,2,4,8,8,54,4,8,9,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210224,2021-02-24 00:00:00,24/02/2021,02/24/2021,24,24th,Wednesday,4,3,4,8,8,55,4,8,9,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210225,2021-02-25 00:00:00,25/02/2021,02/25/2021,25,25th,Thursday,5,4,4,8,8,56,4,8,9,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210226,2021-02-26 00:00:00,26/02/2021,02/26/2021,26,26th,Friday,6,5,4,9,9,57,4,9,9,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210227,2021-02-27 00:00:00,27/02/2021,02/27/2021,27,27th,Saturday,7,6,4,9,9,58,4,9,9,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210228,2021-02-28 00:00:00,28/02/2021,02/28/2021,28,28th,Sunday,1,7,4,9,9,59,5,9,10,2,February,2,1,First,2021,CY 2021,Feb-2021  ,022021,2021-02-01,2021-02-28,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210301,2021-03-01 00:00:00,01/03/2021,03/01/2021,1,1st,Monday,2,1,1,9,9,60,1,9,10,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210302,2021-03-02 00:00:00,02/03/2021,03/02/2021,2,2nd,Tuesday,3,2,1,9,9,61,1,9,10,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210303,2021-03-03 00:00:00,03/03/2021,03/03/2021,3,3rd,Wednesday,4,3,1,9,9,62,1,9,10,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210304,2021-03-04 00:00:00,04/03/2021,03/04/2021,4,4th,Thursday,5,4,1,9,9,63,1,9,10,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210305,2021-03-05 00:00:00,05/03/2021,03/05/2021,5,5th,Friday,6,5,1,10,10,64,1,10,10,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210306,2021-03-06 00:00:00,06/03/2021,03/06/2021,6,6th,Saturday,7,6,1,10,10,65,1,10,10,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210307,2021-03-07 00:00:00,07/03/2021,03/07/2021,7,7th,Sunday,1,7,1,10,10,66,2,10,11,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210308,2021-03-08 00:00:00,08/03/2021,03/08/2021,8,8th,Monday,2,1,2,10,10,67,2,10,11,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210309,2021-03-09 00:00:00,09/03/2021,03/09/2021,9,9th,Tuesday,3,2,2,10,10,68,2,10,11,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210310,2021-03-10 00:00:00,10/03/2021,03/10/2021,10,10th,Wednesday,4,3,2,10,10,69,2,10,11,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210311,2021-03-11 00:00:00,11/03/2021,03/11/2021,11,11th,Thursday,5,4,2,10,10,70,2,10,11,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210312,2021-03-12 00:00:00,12/03/2021,03/12/2021,12,12th,Friday,6,5,2,11,11,71,2,11,11,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210313,2021-03-13 00:00:00,13/03/2021,03/13/2021,13,13th,Saturday,7,6,2,11,11,72,2,11,11,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210314,2021-03-14 00:00:00,14/03/2021,03/14/2021,14,14th,Sunday,1,7,2,11,11,73,3,11,12,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210315,2021-03-15 00:00:00,15/03/2021,03/15/2021,15,15th,Monday,2,1,3,11,11,74,3,11,12,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210316,2021-03-16 00:00:00,16/03/2021,03/16/2021,16,16th,Tuesday,3,2,3,11,11,75,3,11,12,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210317,2021-03-17 00:00:00,17/03/2021,03/17/2021,17,17th,Wednesday,4,3,3,11,11,76,3,11,12,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,True,True,Saint Patrick's Day,False,
20210318,2021-03-18 00:00:00,18/03/2021,03/18/2021,18,18th,Thursday,5,4,3,11,11,77,3,11,12,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210319,2021-03-19 00:00:00,19/03/2021,03/19/2021,19,19th,Friday,6,5,3,12,12,78,3,12,12,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210320,2021-03-20 00:00:00,20/03/2021,03/20/2021,20,20th,Saturday,7,6,3,12,12,79,3,12,12,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210321,2021-03-21 00:00:00,21/03/2021,03/21/2021,21,21st,Sunday,1,7,3,12,12,80,4,12,13,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210322,2021-03-22 00:00:00,22/03/2021,03/22/2021,22,22nd,Monday,2,1,4,12,12,81,4,12,13,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210323,2021-03-23 00:00:00,23/03/2021,03/23/2021,23,23rd,Tuesday,3,2,4,12,12,82,4,12,13,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210324,2021-03-24 00:00:00,24/03/2021,03/24/2021,24,24th,Wednesday,4,3,4,12,12,83,4,12,13,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210325,2021-03-25 00:00:00,25/03/2021,03/25/2021,25,25th,Thursday,5,4,4,12,12,84,4,12,13,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210326,2021-03-26 00:00:00,26/03/2021,03/26/2021,26,26th,Friday,6,5,4,13,13,85,4,13,13,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210327,2021-03-27 00:00:00,27/03/2021,03/27/2021,27,27th,Saturday,7,6,4,13,13,86,4,13,13,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210328,2021-03-28 00:00:00,28/03/2021,03/28/2021,28,28th,Sunday,1,7,4,13,13,87,5,13,14,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210329,2021-03-29 00:00:00,29/03/2021,03/29/2021,29,29th,Monday,2,1,5,13,13,88,5,13,14,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210330,2021-03-30 00:00:00,30/03/2021,03/30/2021,30,30th,Tuesday,3,2,5,13,13,89,5,13,14,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210331,2021-03-31 00:00:00,31/03/2021,03/31/2021,31,31st,Wednesday,4,3,5,13,13,90,5,13,14,3,March,3,1,First,2021,CY 2021,Mar-2021  ,032021,2021-03-01,2021-03-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210401,2021-04-01 00:00:00,01/04/2021,04/01/2021,1,1st,Thursday,5,4,1,13,1,91,1,1,14,4,April,1,2,Second,2021,CY 2021,Apr-2021  ,042021,2021-04-01,2021-04-30,2021-04-01,2021-06-30,2021-01-01,2021-12-31,False,True,,False,
20210402,2021-04-02 00:00:00,02/04/2021,04/02/2021,2,2nd,Friday,6,5,1,14,1,92,1,1,14,4,April,1,2,Second,2021,CY 2021,Apr-2021  ,042021,2021-04-01,2021-04-30,2021-04-01,2021-06-30,2021-01-01,2021-12-31,False,True,,False,
20210403,2021-04-03 00:00:00,03/04/2021,04/03/2021,3,3rd,Saturday,7,6,1,14,1,93,1,1,14,4,April,1,2,Second,2021,CY 2021,Apr-2021  ,042021,2021-04-01,2021-04-30,2021-04-01,2021-06-30,2021-01-01,2021-12-31,False,False,,False,
20210404,2021-04-04 00:00:00,04/04/2021,04/04/2021,4,4th,Sunday,1,7,1,14,1,94,2,1,15,4,April,1,2,Second,2021,CY 2021,Apr-2021  ,042021,2021-04-01,2021-04-30,2021-04-01,2021-06-30,2021-01-01,2021-12-31,False,False,,False,
20210405,2021-04-05 00:00:00,05/04/2021,04/05/2021,5,5th,Monday,2,1,1,14,1,95,2,1,15,4,April,1,2,Second,2021,CY 2021,Apr-2021  ,042021,2021-04-01,2021-04-30,2021-04-01,2021-06-30,2021-01-01,2021-12-31,False,True,,False,
