"id_factura","cantidad_vendida","precio_unitario_historico","ingresos_linea","llave_fecha","id_track_original","nombre_cancion","album","artista","genero_actual","genero_anterior","registro_activo"
12,1,0.99,0.99,20210211,358,"Man With The Woman Head","Bongo Fury","Frank Zappa & Captain Beefheart","Rock","","T"
12,1,0.99,0.99,20210211,367,"Leandro De Itaquera 2001","Carnaval 2001","Various Artists","Soundtrack","","T"
12,1,0.99,0.99,20210211,376,"V�o Sobre o Horizonte","Chill: Brazil (Disc 1)","Marcos Valle","Latin","","T"
12,1,0.99,0.99,20210211,385,"All Star","Chill: Brazil (Disc 1)","Marcos Valle","Latin","","T"
12,1,0.99,0.99,20210211,394,"Tanto Tempo","Chill: Brazil (Disc 2)","Ant�nio Carlos Jobim","Latin","","T"
12,1,0.99,0.99,20210211,403,"Bumbo Da Mangueira","Chill: Brazil (Disc 2)","Ant�nio Carlos Jobim","Latin","","T"
12,1,0.99,0.99,20210211,412,"Die Die My Darling","Garage Inc. (Disc 1)","Metallica","Metal","","T"
12,1,0.99,0.99,20210211,421,"Radio GA GA","Greatest Hits II","Queen","Rock","","T"
12,1,0.99,0.99,20210211,430,"I'm Going Slightly Mad","Greatest Hits II","Queen","Rock","","T"
12,1,0.99,0.99,20210211,439,"Sure Know Something","Greatest Kiss","Kiss","Rock","","T"
12,1,0.99,0.99,20210211,448,"God Of Thunder","Greatest Kiss","Kiss","Rock","","T"
13,1,0.99,0.99,20210219,462,"Valentino's","Heart of the Night","Spyro Gyra","Jazz","","T"
14,1,0.99,0.99,20210304,463,"Believe","Heart of the Night","Spyro Gyra","Jazz","","T"
14,1,0.99,0.99,20210304,464,"As We Sleep","Heart of the Night","Spyro Gyra","Jazz","","T"
15,1,0.99,0.99,20210304,466,"J Squared","Heart of the Night","Spyro Gyra","Jazz","","T"
15,1,0.99,0.99,20210304,468,"Maria","International Superhits","Green Day","Alternative & Punk","","T"
16,1,0.99,0.99,20210305,470,"Longview","International Superhits","Green Day","Alternative & Punk","","T"
16,1,0.99,0.99,20210305,472,"Basket Case","International Superhits","Green Day","Alternative & Punk","","T"
16,1,0.99,0.99,20210305,474,"She","International Superhits","Green Day","Alternative & Punk","","T"
16,1,0.99,0.99,20210305,476,"Geek Stink Breath","International Superhits","Green Day","Alternative & Punk","","T"
17,1,0.99,0.99,20210306,480,"Stuck With Me","International Superhits","Green Day","Alternative & Punk","","T"
17,1,0.99,0.99,20210306,484,"Nice Guys Finish Last","International Superhits","Green Day","Alternative & Punk","","T"
17,1,0.99,0.99,20210306,488,"Macy's Day Parade","International Superhits","Green Day","Alternative & Punk","","T"
17,1,0.99,0.99,20210306,492,"Don't You Cry","Into The Light","David Coverdale","Rock","","T"
17,1,0.99,0.99,20210306,496,"Living On Love","Into The Light","David Coverdale","Rock","","T"
17,1,0.99,0.99,20210306,500,"Wherever You May Go","Into The Light","David Coverdale","Rock","","T"
18,1,0.99,0.99,20210309,506,"Diga L� Cora��o","Meus Momentos","Gonzaguinha","Latin","","T"
18,1,0.99,0.99,20210309,512,"Comportamento Geral","Meus Momentos","Gonzaguinha","Latin","","T"
18,1,0.99,0.99,20210309,518,"Podres Poderes","Minha Historia","Chico Buarque","Latin","","T"
18,1,0.99,0.99,20210309,524,"Queixa","Minha Historia","Chico Buarque","Latin","","T"
18,1,0.99,0.99,20210309,530,"Ando Meio Desligado","Minha Hist�ria","Os Mutantes","Alternative & Punk","","T"
18,1,0.99,0.99,20210309,536,"Vida De Cachorro","Minha Hist�ria","Os Mutantes","Alternative & Punk","","T"
18,1,0.99,0.99,20210309,542,"Meu Refrigerador N�o Funciona","Minha Hist�ria","Os Mutantes","Alternative & Punk","","T"
18,1,0.99,0.99,20210309,548,"Smoke On The Water","MK III The Final Concerts [Disc 1]","Deep Purple","Rock","","T"
18,1,0.99,0.99,20210309,554,"Trampled Under Foot","Physical Graffiti [Disc 1]","Led Zeppelin","Rock","","T"
19,1,0.99,0.99,20210314,563,"Uni�o Da Ilha","Sambas De Enredo 2001","Various Artists","Latin","","T"
19,1,0.99,0.99,20210314,572,"Put Your Lights On","Supernatural","Santana","Rock","","T"
19,1,0.99,0.99,20210314,581,"Primavera","Supernatural","Santana","Rock","","T"
19,1,0.99,0.99,20210314,590,"Seis Da Tarde","The Best of Ed Motta","Ed Motta","Latin","","T"
19,1,0.99,0.99,20210314,599,"Compulsion","The Essential Miles Davis [Disc 1]","Miles Davis","Jazz","","T"
19,1,0.99,0.99,20210314,608,"The Pan Piper","The Essential Miles Davis [Disc 1]","Miles Davis","Jazz","","T"
19,1,0.99,0.99,20210314,617,"Jean Pierre (Live)","The Essential Miles Davis [Disc 2]","Miles Davis","Jazz","","T"
19,1,0.99,0.99,20210314,626,"Drum Boogie","Up An' Atom","Gene Krupa","Jazz","","T"
19,1,0.99,0.99,20210314,635,"Lemon Drop","Up An' Atom","Gene Krupa","Jazz","","T"
19,1,0.99,0.99,20210314,644,"Showcase","Up An' Atom","Gene Krupa","Jazz","","T"
19,1,0.99,0.99,20210314,653,"Como � Duro Trabalhar","Vin�cius De Moraes - Sem Limite","Toquinho & Vin�cius","Bossa Nova","","T"
19,1,0.99,0.99,20210314,662,"Pela Luz dos Olhos Teus (Mi�cha e Tom Jobim)","Vozes do MPB","Various Artists","Latin","","T"
19,1,0.99,0.99,20210314,671,"As Rosas N�o Falam (Beth Carvalho)","Vozes do MPB","Various Artists","Latin","","T"
19,1,0.99,0.99,20210314,680,"Green River","Chronicle Vol. 1","Creedence Clearwater Revival","Rock","","T"
20,1,0.99,0.99,20210322,694,"Someday Never Comes","Chronicle Vol. 1","Creedence Clearwater Revival","Rock","","T"
21,1,0.99,0.99,20210404,695,"Walking On The Water","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
21,1,0.99,0.99,20210404,696,"Suzie-Q Pt. 2","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
22,1,0.99,0.99,20210404,698,"Good Golly Miss Molly","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
22,1,0.99,0.99,20210404,700,"Wrote A Song For Everyone","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
23,1,0.99,0.99,20210405,702,"Cotton Fields","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
23,1,0.99,0.99,20210405,704,"Don't Look Now","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
23,1,0.99,0.99,20210405,706,"Before You Accuse Me","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
23,1,0.99,0.99,20210405,708,"Pagan Baby","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
24,1,0.99,0.99,20210406,712,"Born To Move","Chronicle Vol. 2","Creedence Clearwater Revival","Rock","","T"
24,1,0.99,0.99,20210406,716,"Brasil","C�ssia Eller - Cole��o Sem Limite [Disc 2]","C�ssia Eller","Latin","","T"
24,1,0.99,0.99,20210406,720,"Coron� Antonio Bento","C�ssia Eller - Cole��o Sem Limite [Disc 2]","C�ssia Eller","Latin","","T"
24,1,0.99,0.99,20210406,724,"M�sica Urbana 2","C�ssia Eller - Cole��o Sem Limite [Disc 2]","C�ssia Eller","Latin","","T"
24,1,0.99,0.99,20210406,728,"Woman Of The World (Ao Vivo)","C�ssia Eller - Cole��o Sem Limite [Disc 2]","C�ssia Eller","Latin","","T"
24,1,0.99,0.99,20210406,732,"Smells Like Teen Spirit (Ao Vivo)","C�ssia Eller - Sem Limite [Disc 1]","C�ssia Eller","Latin","","T"
25,1,0.99,0.99,20210409,738,"Admir�vel Gado Novo","C�ssia Eller - Sem Limite [Disc 1]","C�ssia Eller","Latin","","T"
25,1,0.99,0.99,20210409,744,"Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)","C�ssia Eller - Sem Limite [Disc 1]","C�ssia Eller","Latin","","T"
25,1,0.99,0.99,20210409,750,"Drifter","Come Taste The Band","Deep Purple","Rock","","T"
25,1,0.99,0.99,20210409,756,"Child In Time","Deep Purple In Rock","Deep Purple","Rock","","T"
25,1,0.99,0.99,20210409,762,"No No No","Fireball","Deep Purple","Rock","","T"
25,1,0.99,0.99,20210409,768,"Knocking At Your Back Door","Knocking at Your Back Door: The Best Of Deep Purple in the 80's","Deep Purple","Rock","","T"
25,1,0.99,0.99,20210409,774,"The Unwritten Law","Knocking at Your Back Door: The Best Of Deep Purple in the 80's","Deep Purple","Rock","","T"
25,1,0.99,0.99,20210409,780,"Maybe I'm A Leo","Machine Head","Deep Purple","Rock","","T"
25,1,0.99,0.99,20210409,786,"Vavoom : Ted The Mechanic","Purpendicular","Deep Purple","Rock","","T"
26,1,0.99,0.99,20210414,795,"Hey Cisco","Purpendicular","Deep Purple","Rock","","T"
26,1,0.99,0.99,20210414,804,"Fortuneteller","Slaves And Masters","Deep Purple","Rock","","T"
26,1,0.99,0.99,20210414,813,"High Ball Shooter","Stormbringer","Deep Purple","Rock","","T"
26,1,0.99,0.99,20210414,822,"A Twist In The Tail","The Battle Rages On","Deep Purple","Rock","","T"
26,1,0.99,0.99,20210414,831,"Animal","Vault: Def Leppard's Greatest Hits","Def Leppard","Rock","","T"
26,1,0.99,0.99,20210414,840,"Hysteria","Vault: Def Leppard's Greatest Hits","Def Leppard","Rock","","T"
26,1,0.99,0.99,20210414,849,"Baltimore DC","Outbreak","Dennis Chambers","Jazz","","T"
26,1,0.99,0.99,20210414,858,"Esquinas","Djavan Ao Vivo - Vol. 02","Djavan","Latin","","T"
26,1,0.99,0.99,20210414,867,"A�ai","Djavan Ao Vivo - Vol. 1","Djavan","Latin","","T"
26,1,0.99,0.99,20210414,876,"Um Amor Puro","Djavan Ao Vivo - Vol. 1","Djavan","Latin","","T"
26,1,0.99,0.99,20210414,885,"Fascina��o","Elis Regina-Minha Hist�ria","Elis Regina","Latin","","T"
26,1,0.99,0.99,20210414,894,"Sunshine Of Your Love","The Cream Of Clapton","Eric Clapton","Blues","","T"
26,1,0.99,0.99,20210414,903,"Lay Down Sally","The Cream Of Clapton","Eric Clapton","Blues","","T"
26,1,0.99,0.99,20210414,912,"Tears In Heaven","Unplugged","Eric Clapton","Blues","","T"
27,1,0.99,0.99,20210422,926,"Naked In Front Of The Computer","Album Of The Year","Faith No More","Alternative & Punk","","T"
28,1,0.99,0.99,20210505,927,"Helpless","Album Of The Year","Faith No More","Alternative & Punk","","T"
28,1,0.99,0.99,20210505,928,"Mouth To Mouth","Album Of The Year","Faith No More","Alternative & Punk","","T"
29,1,0.99,0.99,20210505,930,"She Loves Me Not","Album Of The Year","Faith No More","Alternative & Punk","","T"
29,1,0.99,0.99,20210505,932,"Paths Of Glory","Album Of The Year","Faith No More","Alternative & Punk","","T"
30,1,0.99,0.99,20210506,934,"Pristina","Album Of The Year","Faith No More","Alternative & Punk","","T"
30,1,0.99,0.99,20210506,936,"Caffeine","Angel Dust","Faith No More","Alternative & Punk","","T"
30,1,0.99,0.99,20210506,938,"RV","Angel Dust","Faith No More","Alternative & Punk","","T"
30,1,0.99,0.99,20210506,940,"Everything's Ruined","Angel Dust","Faith No More","Alternative & Punk","","T"
31,1,0.99,0.99,20210507,944,"A Small Victory","Angel Dust","Faith No More","Alternative & Punk","","T"
31,1,0.99,0.99,20210507,948,"Easy","Angel Dust","Faith No More","Alternative & Punk","","T"
31,1,0.99,0.99,20210507,952,"The Gentle Art Of Making Enemies","King For A Day Fool For A Lifetime","Faith No More","Rock","","T"
31,1,0.99,0.99,20210507,956,"Ugly In The Morning","King For A Day Fool For A Lifetime","Faith No More","Rock","","T"
31,1,0.99,0.99,20210507,960,"What A Day","King For A Day Fool For A Lifetime","Faith No More","Rock","","T"
31,1,0.99,0.99,20210507,964,"From Out Of Nowhere","The Real Thing","Faith No More","Alternative & Punk","","T"
32,1,0.99,0.99,20210510,970,"Underwater Love","The Real Thing","Faith No More","Alternative & Punk","","T"
32,1,0.99,0.99,20210510,976,"Falamansa Song","Deixa Entrar","Falamansa","Latin","","T"
32,1,0.99,0.99,20210510,982,"Avisa","Deixa Entrar","Falamansa","Latin","","T"
32,1,0.99,0.99,20210510,988,"Desaforo","Deixa Entrar","Falamansa","Latin","","T"
32,1,0.99,0.99,20210510,994,"The Last Song","In Your Honor [Disc 1]","Foo Fighters","Rock","","T"
32,1,0.99,0.99,20210510,1000,"What If I Do?","In Your Honor [Disc 2]","Foo Fighters","Rock","","T"
32,1,0.99,0.99,20210510,1006,"Virginia Moon","In Your Honor [Disc 2]","Foo Fighters","Rock","","T"
32,1,0.99,0.99,20210510,1012,"Times Like These","One By One","Foo Fighters","Alternative & Punk","","T"
32,1,0.99,0.99,20210510,1018,"Burn Away","One By One","Foo Fighters","Alternative & Punk","","T"
33,1,0.99,0.99,20210515,1027,"See You","The Colour And The Shape","Foo Fighters","Rock","","T"
33,1,0.99,0.99,20210515,1036,"I Get A Kick Out Of You","My Way: The Best Of Frank Sinatra [Disc 1]","Frank Sinatra","Easy Listening","","T"
33,1,0.99,0.99,20210515,1045,"Fly Me To The Moon","My Way: The Best Of Frank Sinatra [Disc 1]","Frank Sinatra","Easy Listening","","T"
33,1,0.99,0.99,20210515,1054,"Mack The Knife","My Way: The Best Of Frank Sinatra [Disc 1]","Frank Sinatra","Easy Listening","","T"
33,1,0.99,0.99,20210515,1063,"Funk Hum","Roda De Funk","Funk Como Le Gusta","Latin","","T"
33,1,0.99,0.99,20210515,1072,"Forty Days Instrumental","Roda De Funk","Funk Como Le Gusta","Latin","","T"
33,1,0.99,0.99,20210515,1081,"Pau-De-Arara","As Can��es de Eu Tu Eles","Gilberto Gil","Soundtrack","","T"
33,1,0.99,0.99,20210515,1090,"Stir It Up (Live)","Quanta Gente Veio Ver (Live)","Gilberto Gil","Latin","","T"
33,1,0.99,0.99,20210515,1099,"A Novidade (Live)","Quanta Gente Veio Ver (Live)","Gilberto Gil","Latin","","T"
33,1,0.99,0.99,20210515,1108,"Realce","Unplugged","Eric Clapton","Latin","","T"
33,1,0.99,0.99,20210515,1117,"Aquele Abra�o","Unplugged","Eric Clapton","Latin","","T"
33,1,0.99,0.99,20210515,1126,"Re-Align","Faceless","Godsmack","Metal","","T"
33,1,0.99,0.99,20210515,1135,"Holiday","American Idiot","Green Day","Alternative & Punk","","T"
33,1,0.99,0.99,20210515,1144,"Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Ag","American Idiot","Green Day","Alternative & Punk","","T"
34,1,0.99,0.99,20210523,1158,"Right Next Door to Hell","Use Your Illusion I","Guns N' Roses","Rock","","T"
35,1,0.99,0.99,20210605,1159,"Dust N' Bones","Use Your Illusion I","Guns N' Roses","Rock","","T"
35,1,0.99,0.99,20210605,1160,"Live and Let Die","Use Your Illusion I","Guns N' Roses","Rock","","T"
36,1,0.99,0.99,20210605,1162,"Perfect Crime","Use Your Illusion I","Guns N' Roses","Rock","","T"
36,1,0.99,0.99,20210605,1164,"Bad Obsession","Use Your Illusion I","Guns N' Roses","Rock","","T"
37,1,0.99,0.99,20210606,1166,"Double Talkin' Jive","Use Your Illusion I","Guns N' Roses","Rock","","T"
37,1,0.99,0.99,20210606,1168,"The Garden","Use Your Illusion I","Guns N' Roses","Rock","","T"
37,1,0.99,0.99,20210606,1170,"Don't Damn Me","Use Your Illusion I","Guns N' Roses","Rock","","T"
37,1,0.99,0.99,20210606,1172,"Dead Horse","Use Your Illusion I","Guns N' Roses","Rock","","T"
38,1,0.99,0.99,20210607,1176,"Yesterdays","Use Your Illusion II","Guns N' Roses","Metal","","T"
38,1,0.99,0.99,20210607,1180,"Breakdown","Use Your Illusion II","Guns N' Roses","Metal","","T"
38,1,0.99,0.99,20210607,1184,"Estranged","Use Your Illusion II","Guns N' Roses","Metal","","T"
38,1,0.99,0.99,20210607,1188,"Colibri","Blue Moods","Incognito","Jazz","","T"
38,1,0.99,0.99,20210607,1192,"L'Arc En Ciel De Miles","Blue Moods","Incognito","Jazz","","T"
38,1,0.99,0.99,20210607,1196,"Millenium","Blue Moods","Incognito","Jazz","","T"
39,1,0.99,0.99,20210610,1202,"These Colours Don't Run","A Matter of Life and Death","Iron Maiden","Rock","","T"
39,1,0.99,0.99,20210610,1208,"For the Greater Good of God","A Matter of Life and Death","Iron Maiden","Rock","","T"
39,1,0.99,0.99,20210610,1214,"Prowler","A Real Dead One","Iron Maiden","Metal","","T"
39,1,0.99,0.99,20210610,1220,"Run To The Hilss","A Real Dead One","Iron Maiden","Metal","","T"
39,1,0.99,0.99,20210610,1226,"Can I Play With Madness","A Real Live One","Iron Maiden","Metal","","T"
39,1,0.99,0.99,20210610,1232,"Heaven Can Wait","A Real Live One","Iron Maiden","Metal","","T"
39,1,0.99,0.99,20210610,1238,"Blood Brothers","Brave New World","Iron Maiden","Rock","","T"
39,1,0.99,0.99,20210610,1244,"The Thin Line Between Love & Hate","Brave New World","Iron Maiden","Rock","","T"
39,1,0.99,0.99,20210610,1250,"Gates Of Tomorrow","Dance Of Death","Iron Maiden","Heavy Metal","","T"
40,1,0.99,0.99,20210615,1259,"Fear Is The Key","Fear Of The Dark","Iron Maiden","Rock","","T"
40,1,0.99,0.99,20210615,1268,"01 - Prowler","Iron Maiden","Iron Maiden","Blues","","T"
40,1,0.99,0.99,20210615,1277,"The Ides Of March","Killers","Iron Maiden","Heavy Metal","","T"
40,1,0.99,0.99,20210615,1286,"Drifter","Killers","Iron Maiden","Heavy Metal","","T"
40,1,0.99,0.99,20210615,1295,"The Number Of The Beast","Live After Death","Iron Maiden","Metal","","T"
40,1,0.99,0.99,20210615,1304,"Phantom Of The Opera","Live After Death","Iron Maiden","Heavy Metal","","T"
40,1,0.99,0.99,20210615,1313,"Afraid To Shoot Strangers","Live At Donington 1992 (Disc 1)","Iron Maiden","Rock","","T"
40,1,0.99,0.99,20210615,1322,"The Trooper","Live At Donington 1992 (Disc 2)","Iron Maiden","Rock","","T"
40,1,0.99,0.99,20210615,1331,"Run Silent Run Deep","No Prayer For The Dying","Iron Maiden","Metal","","T"
40,1,0.99,0.99,20210615,1340,"Still Life","Piece Of Mind","Iron Maiden","Metal","","T"
40,1,0.99,0.99,20210615,1349,"Back in the Village","Powerslave","Iron Maiden","Metal","","T"
40,1,0.99,0.99,20210615,1358,"Blood Brothers","Rock In Rio [CD1]","Iron Maiden","Metal","","T"
40,1,0.99,0.99,20210615,1367,"The Number Of The Beast","Rock In Rio [CD2]","Iron Maiden","Rock","","T"
40,1,0.99,0.99,20210615,1376,"The Prophecy","Seventh Son of a Seventh Son","Iron Maiden","Metal","","T"
41,1,0.99,0.99,20210623,1390,"Hallowed Be Thy Name","The Number of The Beast","Iron Maiden","Metal","","T"
42,1,0.99,0.99,20210706,1391,"Invaders","The Number of The Beast","Iron Maiden","Metal","","T"
42,1,0.99,0.99,20210706,1392,"Run to the Hills","The Number of The Beast","Iron Maiden","Metal","","T"
43,1,0.99,0.99,20210706,1394,"The Prisoner","The Number of The Beast","Iron Maiden","Metal","","T"
43,1,0.99,0.99,20210706,1396,"Lord Of The Flies","The X Factor","Iron Maiden","Rock","","T"
44,1,0.99,0.99,20210707,1398,"Fortunes Of War","The X Factor","Iron Maiden","Rock","","T"
44,1,0.99,0.99,20210707,1400,"The Aftermath","The X Factor","Iron Maiden","Rock","","T"
44,1,0.99,0.99,20210707,1402,"Blood On The World's Hands","The X Factor","Iron Maiden","Rock","","T"
44,1,0.99,0.99,20210707,1404,"2 A.M.","The X Factor","Iron Maiden","Rock","","T"
45,1,0.99,0.99,20210708,1408,"Lightning Strikes Twice","Virtual XI","Iron Maiden","Rock","","T"
45,1,0.99,0.99,20210708,1412,"Don't Look To The Eyes Of A Stranger","Virtual XI","Iron Maiden","Rock","","T"
45,1,0.99,0.99,20210708,1416,"Night Train","Sex Machine","James Brown","R&B/Soul","","T"
45,1,0.99,0.99,20210708,1420,"It's A Man's Man's Man's World","Sex Machine","James Brown","R&B/Soul","","T"
45,1,0.99,0.99,20210708,1424,"Hey America","Sex Machine","James Brown","R&B/Soul","","T"
45,1,0.99,0.99,20210708,1428,"Get Up Offa That Thing","Sex Machine","James Brown","R&B/Soul","","T"
46,1,0.99,0.99,20210711,1434,"When You Gonna Learn (Digeridoo)","Emergency On Planet Earth","Jamiroquai","Rock","","T"
46,1,0.99,0.99,20210711,1440,"Whatever It Is I Just Can't Stop","Emergency On Planet Earth","Jamiroquai","Rock","","T"
46,1,0.99,0.99,20210711,1446,"Black Capricorn Day","Synkronized","Jamiroquai","R&B/Soul","","T"
46,1,0.99,0.99,20210711,1452,"Were Do We Go From Here","Synkronized","Jamiroquai","R&B/Soul","","T"
46,1,0.99,0.99,20210711,1458,"Light Years","The Return Of The Space Cowboy","Jamiroquai","Electronica/Dance","","T"
